mercadona-es;postres y yogures yogures liquidos;Bebida láctea sin lactosa de fresa Hacendado;1.4;2.19;kg
mercadona-es;bodega licores;Ginebra 15 botanicals Blumara;10.75;15.36;l
mercadona-es;charcuteria y quesos queso untable y fresco;Queso fresco batido desnatado Hacendado 0% materia grasa;1.09;2.18;kg
carrefour-es;la despensa yogures y postres yogures desnatados;Yogur bífidus desnatado con lima y limón Danone Activia pack de 4 unidades de 120 g.;2.08;4.33;kg
carrefour-es;la despensa helados bombon;Helado After Dinner Magnum sin gluten 10 ud.;4.6;0.46;ud
carrefour-es;limpieza y hogar cuidado de la ropa detergentes;Detergente líquido Actilift Ariel 50 lavados.;13.95;0.28;l
mercadona-es;carne conejo y cordero;Chuletas de cordero paletilla;7.02;11.9;kg
dia-es;perfumeria e higiene higiene intima aseo intimo;PHARMALINE gel de ducha atopic bote 750 ml;5.25;7.0;ml
mercadona-es;postres y yogures bifidus;Bífidus con frutas Hacendado;1.9;1.9;kg
dia-es;perfumeria e higiene higiene bucal dentifricos;ORAL B pasta dentífrica repair blanqueante tubo 75 ml;3.99;53.2;ml
carrefour-es;parafarmacia bebe embarazo y lactancia;Aceite para el cuidado de la piel Bio-Oil 200 ml.;18.0;9.0;ml
carrefour-es;la despensa alimentacion vitaminas y complementos;CLA Prozis 90 ud.;10.45;9.5;ud
dia-es;alimentacion conservas pescado mejillones;ISABEL mejillones en salsa vieira 13/18 piezas lata 69 grs;1.85;26.81;g
mercadona-es;azucar caramelos y chocolate chocolate;Chocolate extrafino negro Hacendado;0.75;5.0;kg
carrefour-es;perfumeria e higiene cosmetica labios;Barra de labios color riche nº 630 L'Oréal 1 ud.;12.5;12.5;ud
carrefour-es;la despensa lacteos batidos y horchatas;Horchata de chufa Chufi Original botella 1 l.;1.48;1.48;l
mercadona-es;limpieza y hogar utensilios de limpieza y calzado;Reavivador de ante y nobuk Bosque Verde;3.35;13.4;l
carrefour-es;la despensa aperitivos patatas fritas;Patatas fritas lisas Carrefour 170 g.;0.64;3.76;g
carrefour-es;parafarmacia higiene bucal colutorio;Colutorio diario flúor Fluor-Aid 500 ml.;6.0;1.2;ml
dia-es;perfumeria e higiene depilacion cera;DAEN cera depilatoria en perlas rosa mosqueta caja 200 gr;4.59;22.95;g
carrefour-es;la despensa alimentacion salsas y tomate frito;Tomate frito Orlando sin gluten y sin lactosa pack de 3 brik de 210 g.;1.39;2.21;g
carrefour-es;bebidas vinos todos los vinos;Vino D.O. Rueda blanco verdejo Dama del Lago 75 cl.;2.8;2.8;cl
carrefour-es;perfumeria e higiene cabello champus;Champú cuidado clásico para cabello normal o graso Tresemmé 855 ml;4.75;0.56;ml
mercadona-es;conservas caldos y cremas atun y otras conservas de pescado;Chicharrillos en aceite de girasol Hacendado;1.5;12.5;kg
carrefour-es;bebidas aguas y zumos agua con sabor;Agua de coco ecológica Cocomi sin gluten brik 1 l.;3.61;3.61;l
dia-es;perfumeria e higiene cuidado manos jabon de manos pastilla;DOVE jabón de manos pastilla 100 gr;1.05;10.5;g
carrefour-es;la despensa yogures y postres otros postres;Arroz con leche La Ermita de San Pedro sin gluten 270 g.;1.87;6.93;g
dia-es;bebe higiene champu;FRIZZ EASE champú liso perfecto con queratina tubo 250 ml;5.99;23.96;ml
